,name,platform,publisher,genre,critic,sales_na,sales_pal,sales_jp,sales_ot,release
1451,Yu-Gi-Oh! The Duelists of the Roses,PS2,Konami,Action,7.0,1.07m,0.35m,N/A,N/A,16th Feb 03
338,Tony Hawk's Underground,PS2,Activision,Sports,8.7,2.29m,1.17m,0.01m,0.42m,27th Oct 03
2055,Final Fantasy XV,XOne,Square Enix,Misc,N/A,0.65m,0.30m,0.01m,0.10m,29th Nov 16
362,Spyro: Year of the Dragon,PS,Sony Computer Entertainment,Platform,9.1,1.93m,1.58m,N/A,0.19m,23rd Oct 00
3107,Rocksmith 2014,PC,Ubisoft,Music,9.0,0.39m,0.24m,N/A,0.06m,04th Oct 16
552,FIFA 18,XOne,EA Sports,Sports,8.0,0.83m,1.83m,N/A,0.21m,29th Sep 17
3451,Fire Emblem: Shadow Dragon,DS,Nintendo,Strategy,8.2,0.29m,0.03m,0.27m,0.03m,16th Feb 09
2734,Dragon Ball Z: Budokai Tenkaichi 2,PS2,Atari,Fighting,N/A,0.66m,0.02m,N/A,0.11m,07th Nov 06
3002,Ben 10: Protector of Earth,PSP,D3 Publisher,Action,N/A,0.23m,0.31m,N/A,0.18m,30th Oct 07
2127,LEGO Indiana Jones: The Original Adventures,PS3,LucasArts,Adventure,7.7,0.44m,0.42m,N/A,0.17m,03rd Jun 08
2354,FIFA Street (2012),X360,EA Sports,Sports,N/A,0.21m,0.63m,N/A,0.10m,13th Mar 12
1551,The ICO & Shadow of the Colossus Collection,PS3,Sony Computer Entertainment,Adventure,9.0,0.67m,0.36m,0.13m,0.18m,27th Sep 11
142,Kingdom Hearts,PS2,Square EA,Role-Playing,8.5,3.64m,1.20m,1.49m,0.07m,16th Sep 02
3387,NieR,PS3,Square Enix,Role-Playing,6.6,0.17m,0.19m,0.20m,0.07m,27th Apr 10
2851,LEGO Jurassic World,3DS,Warner Bros. Interactive Entertainment,Action,N/A,0.34m,0.32m,0.04m,0.06m,12th Jun 15
1612,Final Fantasy X / X-2 HD Remaster,PS3,Square Enix,Role-Playing,N/A,0.43m,0.39m,0.32m,0.16m,18th Mar 14
57,FIFA 18,PS4,EA Sports,Sports,8.3,1.08m,8.14m,0.11m,1.60m,29th Sep 17
1314,NBA Live 2000,PS,EA Sports,Sports,N/A,1.43m,0.05m,N/A,0.03m,31st Oct 99
2779,Star Wars The Clone Wars: Jedi Alliance,DS,LucasArts,Action,N/A,0.61m,0.11m,N/A,0.06m,11th Nov 08
3108,World of Zoo,DS,THQ,Simulation,N/A,0.43m,0.20m,N/A,0.07m,26th Oct 09
1826,Inazuma Eleven 2: Kyoui no Shinryokusha,DS,Nintendo,Role-Playing,N/A,N/A,N/A,1.18m,N/A,N/A
2909,Spectrobes,DS,Disney Interactive Studios,Role-Playing,6.2,0.66m,0.03m,N/A,0.06m,06th Mar 07
1844,Rage Racer,PS,Namco,Racing,N/A,0.16m,0.11m,0.83m,0.08m,30th Apr 97
2506,Crimson Skies: High Road to Revenge,XB,Microsoft,Simulation,N/A,0.65m,0.19m,N/A,0.03m,21st Oct 03
873,R.C. Pro-Am,NES,Nintendo,Racing,N/A,1.18m,0.52m,0.37m,N/A,01st Feb 88
610,Mortal Kombat,GEN,Arena Entertainment,Fighting,N/A,1.95m,0.63m,N/A,0.09m,13th Sep 93
1548,F1 2010,PS3,Codemasters,Racing,8.0,0.25m,0.75m,0.08m,0.26m,21st Sep 10
1201,Tiger Woods PGA Tour 2004,PS2,EA Sports,Sports,N/A,1.18m,0.34m,N/A,0.10m,22nd Sep 03
1383,Forza Horizon 2,XOne,Microsoft Game Studios,Racing,N/A,0.56m,0.79m,0.01m,0.11m,30th Sep 14
510,The Elder Scrolls V: Skyrim Special Edition,PS4,Bethesda Softworks,Role-Playing,8.3,1.10m,1.33m,0.08m,0.48m,28th Oct 16
575,A Bug's Life,PS,Sony Computer Entertainment,Platform,3.6,1.96m,0.72m,N/A,0.11m,31st Oct 98
1706,Winter Sports: The Ultimate Challenge,Wii,Conspiracy Entertainment,Sports,N/A,0.45m,0.68m,N/A,0.12m,11th Dec 07
3540,Just Dance 2016,WiiU,Ubisoft,Music,N/A,0.29m,0.25m,N/A,0.05m,20th Oct 15
2800,Lips,X360,Microsoft,Misc,7.1,0.12m,0.56m,N/A,0.10m,18th Nov 08
1444,Rayman Raving Rabbids,Wii,Ubisoft,Misc,7.5,1.22m,0.07m,0.02m,0.11m,14th Nov 06
1360,Drawn To Life: SpongeBob SquarePants Edition,DS,THQ,Adventure,N/A,0.99m,0.35m,N/A,0.14m,15th Sep 08
1355,Buzz! The BIG Quiz,PS2,Sony Computer Entertainment,Misc,N/A,N/A,1.10m,N/A,0.39m,17th Mar 06
2840,Persona 4 Arena,PS3,Atlus,Fighting,N/A,0.32m,0.12m,0.24m,0.08m,07th Aug 12
1178,NBA 2K15,X360,2K Sports,Sports,N/A,1.37m,0.11m,N/A,0.17m,07th Oct 14
3770,NASCAR Rumble,PS,Electronic Arts,Racing,N/A,0.31m,0.21m,N/A,0.04m,31st Jan 00
2752,WCW Mayhem,N64,Electronic Arts,Fighting,N/A,0.63m,0.15m,N/A,0.01m,22nd Sep 99
2245,Wheel of Fortune,Wii,THQ,Misc,N/A,0.86m,0.04m,N/A,0.07m,02nd Nov 10
1396,Battlefield: Bad Company,X360,Electronic Arts,Shooter,8.6,0.81m,0.46m,0.04m,0.15m,23rd Jun 08
2967,Berzerk,2600,Atari,Shooter,N/A,0.68m,0.04m,N/A,0.01m,01st Jan 82
3008,Battlefield: Bad Company 2,PC,Electronic Arts,Shooter,8.8,0.19m,0.53m,N/A,N/A,02nd Mar 10
2807,Marvel Nemesis: Rise of the Imperfects,PS2,Electronic Arts,Fighting,N/A,0.64m,0.02m,N/A,0.10m,20th Sep 05
2823,Tetris Party Deluxe,DS,Majesco,Puzzle,N/A,0.28m,0.30m,0.12m,0.07m,01st Jun 10
3493,Madden NFL 2000,N64,EA Sports,Sports,N/A,0.58m,0.02m,N/A,0.00m,31st Aug 99
1572,WWE SmackDown vs Raw 2008,PS3,THQ,Fighting,7.3,0.62m,0.50m,0.01m,0.20m,13th Nov 07
3782,WWE 2K17,XOne,2K Games,Sports,N/A,0.26m,0.26m,N/A,0.05m,11th Oct 16
2056,DiRT 3,PS3,Codemasters,Racing,9.0,0.27m,0.58m,0.01m,0.20m,24th May 11
1420,Tiger Woods PGA Tour 2005,PS2,EA Sports,Sports,N/A,1.03m,0.32m,N/A,0.09m,20th Sep 04
2480,MLB 2001,PS,Sony Computer Entertainment,Sports,N/A,0.49m,0.34m,N/A,0.06m,29th Feb 00
1387,Triple Play 99,PS,EA Sports,Sports,N/A,0.81m,0.55m,N/A,0.10m,28th Feb 98
589,Mafia III,PS4,2K Games,Action-Adventure,6.9,0.64m,1.65m,0.04m,0.42m,07th Oct 16
134,Red Dead Redemption,PS3,Rockstar Games,Action,9.5,2.82m,2.58m,0.17m,1.00m,11th Oct 11
3419,The Black Eyed Peas Experience,Wii,Ubisoft,Misc,N/A,0.37m,0.19m,N/A,0.06m,08th Nov 11
1748,Game & Watch Gallery 2,GB,Nintendo,Misc,N/A,0.76m,0.30m,0.12m,0.04m,15th Jun 98
2992,XCOM: Enemy Unknown,PC,2K Games,Strategy,9.0,0.28m,0.37m,N/A,0.07m,09th Oct 12
890,Sonic Mega Collection,GC,Sega,Misc,7.5,1.47m,0.48m,0.05m,0.06m,10th Nov 02
2129,Tom Clancy's Ghost Recon Advanced Warfighter 2,PS3,Ubisoft,Shooter,N/A,0.34m,0.48m,0.02m,0.19m,23rd Aug 07
534,Kirby Super Star Ultra,DS,Nintendo,Platform,7.3,1.55m,0.04m,1.19m,0.15m,22nd Sep 08
1695,Dragon Ball: Daimaou Fukkatsu,NES,Bandai,Role-Playing,N/A,N/A,N/A,1.25m,0.00m,12th Aug 88
495,Heavy Rain,PS3,Sony Computer Entertainment,Adventure,8.8,1.29m,1.24m,0.06m,0.48m,23rd Feb 10
18,Super Mario World,SNES,Nintendo,Platform,8.5,12.78m,3.75m,3.54m,0.55m,13th Aug 91
2010,NASCAR Thunder 2004,PS2,EA Sports,Racing,N/A,0.53m,0.41m,N/A,0.14m,16th Sep 03
1145,Yoshi's Cookie,GB,Nintendo,Puzzle,N/A,0.59m,0.24m,0.82m,0.03m,01st Jan 93
3687,Petz Dogz 2,Wii,Ubisoft,Simulation,N/A,0.52m,0.01m,N/A,0.04m,14th Nov 07
1850,Tom Clancy's Ghost Recon: Jungle Storm,PS2,Ubisoft,Shooter,N/A,0.57m,0.44m,N/A,0.15m,16th Mar 04
570,Imagine: Fashion Designer,DS,Ubisoft,Simulation,3.0,1.32m,1.19m,N/A,0.30m,23rd Oct 07
834,Final Fantasy Tactics Advance,GBA,Nintendo,Action,N/A,0.82m,0.37m,0.89m,0.05m,08th Sep 03
1040,Guitar Hero: World Tour,PS2,Activision,Misc,N/A,1.00m,0.03m,N/A,0.77m,26th Oct 08
3249,Gods Eater Burst,PSP,D3 Publisher,Action,7.1,0.03m,0.00m,0.62m,0.00m,15th Mar 11
957,Call of Duty: World at War,Wii,Activision,Shooter,8.1,1.17m,0.58m,N/A,0.18m,10th Nov 08
831,Call of Duty: Roads to Victory,PSP,Activision,Shooter,6.1,0.52m,1.03m,N/A,0.59m,13th Mar 07
119,Super Smash Bros. Melee,GC,Nintendo,Fighting,9.2,4.41m,1.04m,1.39m,0.22m,02nd Dec 01
3165,Return to Castle Wolfenstein: Tides of War,XB,Activision,Shooter,N/A,0.49m,0.16m,N/A,0.02m,06th May 03
511,WWE SmackDown! vs. Raw 2006,PS2,THQ,Fighting,8.4,1.57m,1.02m,N/A,0.41m,15th Nov 05
1303,Resident Evil: The Umbrella Chronicles,Wii,Capcom,Shooter,7.5,0.67m,0.43m,0.29m,0.14m,13th Nov 07
2691,Disney's The Little Mermaid: Ariel's Undersea Adventure,DS,Buena Vista,Action,N/A,0.72m,0.03m,N/A,0.06m,02nd Oct 06
103,The Legend of Zelda: Ocarina of Time,N64,Nintendo,Adventure,9.9,4.10m,1.89m,1.45m,0.16m,23rd Nov 98
210,Battlefield 1,XOne,Electronic Arts,Shooter,N/A,3.33m,1.29m,0.02m,0.48m,21st Oct 16
934,Devil May Cry 2,PS2,Capcom,Action,6.5,0.71m,0.58m,0.51m,0.17m,25th Jan 03
1579,Your Shape: Fitness Evolved,X360,Ubisoft,Sports,7.0,0.79m,0.41m,0.00m,0.12m,04th Nov 10
3350,Tony Hawk's Pro Skater 2x,XB,Activision,Sports,N/A,0.41m,0.19m,N/A,0.03m,14th Nov 01
3088,Mobile Suit Gundam: Journey to Jaburo,PS2,Bandai,Simulation,N/A,0.16m,0.13m,0.36m,0.04m,06th Aug 01
892,Famista '89 - Kaimaku Han!!,NES,Namco,Sports,N/A,N/A,N/A,2.05m,N/A,28th Jul 89
2826,Rare Replay,XOne,Microsoft Game Studios,Misc,N/A,0.42m,0.26m,0.01m,0.07m,04th Aug 15
2787,DJ Hero,Wii,Activision,Misc,8.6,0.47m,0.23m,N/A,0.08m,27th Oct 09
3143,Mortal Kombat Mythologies: Sub-Zero,PS,Midway Games,Platform,N/A,0.38m,0.26m,N/A,0.04m,01st Oct 97
148,Street Fighter II: The World Warrior,SNES,Capcom,Fighting,N/A,2.47m,0.83m,2.87m,0.12m,01st Jul 92
3675,NCAA Football 10,PS2,EA Sports,Sports,8.0,0.28m,0.22m,N/A,0.07m,14th Jul 09
2537,Wizards of Waverly Place,DS,Disney Interactive Studios,Misc,N/A,0.59m,0.20m,N/A,0.08m,25th Aug 09
2445,James Bond 007: Agent Under Fire,XB,Electronic Arts,Shooter,N/A,0.65m,0.22m,N/A,0.03m,26th Mar 02
591,Sonic and the Secret Rings,Wii,Sega,Platform,6.7,1.22m,1.19m,0.04m,0.30m,20th Feb 07
2533,Vagrant Story,PS,Square EA,Role-Playing,9.3,0.30m,0.20m,0.30m,0.06m,15th May 00
1600,Pokémon Mystery Dungeon: Gates to Infinity,3DS,Nintendo,Role-Playing,N/A,0.44m,0.32m,0.47m,0.07m,24th Mar 13
1565,Triple Play 2001,PS,EA Sports,Sports,N/A,0.74m,0.50m,N/A,0.09m,14th Mar 00
2302,Skylanders: Trap Team,Wii,Activision,Platform,N/A,0.41m,0.46m,N/A,0.08m,05th Oct 14
3038,Tactics Ogre: Let Us Cling Together,SNES,Quest,Role-Playing,N/A,N/A,N/A,0.71m,0.00m,06th Oct 95
3700,Harvest Moon: Sunshine Islands,DS,Natsume,Simulation,9.0,0.35m,0.03m,0.17m,0.03m,10th Nov 09
1203,NCAA Football 2005,PS2,EA Sports,Sports,N/A,1.32m,0.09m,N/A,0.22m,15th Jul 04
438,Assassin's Creed IV: Black Flag,X360,Ubisoft,Action-Adventure,8.5,1.90m,1.13m,0.01m,0.30m,29th Oct 13
3384,FIFA Soccer,PSV,EA Sports,Misc,N/A,0.16m,0.35m,0.02m,0.09m,15th Feb 12
1865,Spore,PC,Electronic Arts,Strategy,7.0,0.03m,1.06m,N/A,0.07m,07th Sep 08
726,Madden NFL 08,X360,EA Sports,Sports,8.7,2.18m,0.01m,N/A,0.18m,14th Aug 07
707,Tetris Plus,PS,Jaleco,Puzzle,N/A,2.10m,0.24m,N/A,0.07m,18th Oct 96
744,My Fitness Coach,Wii,Ubisoft,Sports,7.1,1.18m,0.90m,N/A,0.24m,02nd Dec 08
964,Virtua Fighter 2,SAT,Sega,Fighting,N/A,0.34m,0.26m,1.30m,0.03m,01st Jan 96
3674,Madden NFL 2002,XB,EA Sports,Sports,N/A,0.53m,0.02m,N/A,0.03m,29th Oct 01
120,Mario Kart: Double Dash!!,GC,Nintendo,Racing,8.5,4.12m,1.77m,0.87m,0.19m,17th Nov 03
2935,Wolfenstein: The New Order,XOne,Bethesda Softworks,Shooter,N/A,0.37m,0.30m,N/A,0.06m,20th May 14
1803,Pro Evolution Soccer 2008,Wii,Konami,Sports,N/A,0.09m,0.84m,0.11m,0.15m,18th Mar 08
1405,Game de Hakken!! Tamagotchi 2,GB,Bandai,Simulation,N/A,N/A,N/A,1.44m,0.01m,17th Oct 97
2040,MySims Agents,DS,Electronic Arts,Adventure,N/A,0.54m,0.42m,0.00m,0.11m,29th Sep 09
743,Madden NFL 25,X360,EA Sports,Sports,7.8,2.02m,0.07m,N/A,0.25m,27th Aug 13
2443,Madden NFL 99,N64,EA Sports,Sports,N/A,0.84m,0.05m,N/A,0.01m,01st Sep 98
2162,Harry Potter and the Prisoner of Azkaban,PS2,Electronic Arts,Adventure,N/A,0.50m,0.39m,N/A,0.13m,02nd Jun 04
745,Mario Tennis,N64,Nintendo,Sports,8.8,0.78m,0.40m,1.06m,0.07m,28th Aug 00
370,Banjo-Kazooie,N64,Nintendo,Platform,9.3,1.87m,1.13m,0.55m,0.10m,31st May 98
2043,Tomb Raider: Underworld,X360,Eidos Interactive,Adventure,7.5,0.53m,0.42m,0.01m,0.11m,18th Nov 08
491,LEGO Batman: The Videogame,Wii,Warner Bros. Interactive,Adventure,7.3,1.80m,0.98m,N/A,0.29m,23rd Sep 08
2112,F-Zero: Maximum Velocity,GBA,Nintendo,Racing,8.7,0.39m,0.16m,0.37m,0.12m,12th Jun 01
2391,WWE SmackDown vs. Raw 2009,X360,THQ,Fighting,7.8,0.58m,0.26m,N/A,0.08m,09th Nov 08
22,Grand Theft Auto V,PS4,Rockstar Games,Action,9.7,5.49m,8.94m,0.57m,2.76m,18th Nov 14
516,Devil May Cry,PS2,Capcom,Action,9.1,1.36m,0.86m,0.64m,0.13m,16th Oct 01
3170,Call of Duty: Ghosts,PC,Activision,Shooter,8.8,0.26m,0.36m,N/A,0.05m,05th Nov 13
2669,Pro Evolution Soccer 2016,PS4,Konami Digital Entertainment,Sports,N/A,0.14m,0.43m,0.14m,0.10m,15th Sep 15
2687,Army Men: Sarge's Heroes,N64,3DO,Shooter,4.2,0.68m,0.12m,N/A,0.01m,30th Sep 99
1471,Need for Speed: Undercover,PS2,Electronic Arts,Racing,N/A,0.38m,0.08m,0.03m,0.93m,17th Nov 08
3600,Rayman Origins,PSV,Ubisoft,Platform,N/A,0.12m,0.37m,0.00m,0.10m,14th Feb 12
262,FIFA 15,PS3,EA Sports,Sports,6.9,0.59m,3.25m,0.04m,0.68m,23rd Sep 14
2757,Major League Baseball Featuring Ken Griffey Jr,N64,Nintendo,Sports,N/A,0.75m,0.03m,N/A,0.01m,31st May 98
830,Super Mario RPG: Legend of the Seven Stars,SNES,Nintendo,Role-Playing,N/A,0.66m,N/A,1.45m,0.03m,13th May 96
3577,Pokémon Trozei!,DS,Nintendo,Puzzle,N/A,0.25m,0.00m,0.31m,0.02m,06th Mar 06
1821,Mario Tennis,GB,Nintendo,Sports,N/A,0.50m,0.18m,0.44m,0.06m,16th Jan 01
806,Kirby's Pinball Land,GB,Nintendo,Misc,N/A,0.87m,0.17m,1.10m,0.05m,28th Nov 93
1878,Doraemon,NES,Hudson Soft,Action,N/A,N/A,N/A,1.15m,0.00m,12th Dec 86
1091,Madden NFL 99,PS,EA Sports,Sports,N/A,1.66m,0.04m,N/A,0.04m,31st Jul 98
2063,NFL Blitz,N64,Midway Games,Sports,N/A,1.02m,0.04m,N/A,0.01m,09th Sep 98
2050,The Orange Box,PS3,Electronic Arts,Shooter,8.7,0.28m,0.58m,N/A,0.21m,11th Dec 07
2401,EA Sports Grand Slam Tennis,Wii,EA Sports,Sports,7.9,0.28m,0.51m,0.02m,0.11m,08th Jun 09
2964,Practise English!,DS,Nintendo,Misc,N/A,N/A,N/A,0.73m,N/A,26th Oct 07
3685,Tales of the Abyss,PS2,Namco,Role-Playing,8.0,N/A,N/A,0.57m,N/A,10th Oct 06
2000,DJ Hero,X360,Activision,Misc,8.4,0.58m,0.39m,N/A,0.11m,27th Oct 09
3243,Keystone Kapers,2600,Activision,Action,N/A,0.62m,0.04m,N/A,0.01m,01st Jan 83
1494,Duke Nukem: Time to Kill,PS,GT Interactive,Shooter,N/A,0.77m,0.54m,N/A,0.07m,30th Sep 98
1325,Mega Man 2,NES,Capcom,Platform,N/A,0.93m,0.15m,0.42m,0.01m,01st Jul 89
2426,Marvel: Ultimate Alliance 2,X360,Activision,Role-Playing,7.4,0.68m,0.15m,N/A,0.08m,15th Sep 09
2562,Kingdoms of Amalur: Reckoning,PS3,Electronic Arts,Role-Playing,N/A,0.37m,0.29m,0.09m,0.10m,07th Feb 12
3366,LEGO Pirates of the Caribbean: The Video Game,3DS,Disney Interactive Studios,Action,7.0,0.29m,0.28m,N/A,0.06m,10th May 11
1299,Mortal Kombat 3,SNES,Williams Entertainment,Fighting,N/A,1.19m,0.29m,N/A,0.05m,01st Oct 95
2534,Warriors Orochi,PS2,KOEI,Action,N/A,0.11m,0.09m,0.64m,0.03m,18th Sep 07
1521,Gardening Mama,DS,Majesco,Puzzle,6.6,0.79m,0.42m,0.01m,0.13m,31st Mar 09
3742,The Amazing Spider-Man 2 (2014),PS4,Activision,Action-Adventure,N/A,0.20m,0.26m,0.02m,0.09m,29th Apr 14
1271,Hannah Montana: Music Jam,DS,Disney Interactive Studios,Action,N/A,1.05m,0.36m,N/A,0.15m,16th Oct 07
2921,Skylanders: Trap Team,WiiU,Activision,Action-Adventure,N/A,0.42m,0.26m,N/A,0.07m,05th Oct 14
2889,Portal 2,PC,Valve,Shooter,9.7,0.33m,0.33m,N/A,0.10m,19th Apr 11
1066,Golden Sun,GBA,Nintendo,Role-Playing,9.1,0.93m,0.38m,0.40m,0.06m,11th Nov 01
3223,NCAA March Madness 2003,PS2,EA Sports,Sports,N/A,0.32m,0.25m,N/A,0.08m,21st Nov 02
758,LEGO Harry Potter: Years 1-4,DS,Warner Bros. Interactive,Adventure,8.0,1.07m,1.00m,N/A,0.22m,29th Jun 10
1926,Farming Simulator 17,PC,FuRyu Corporation,Simulation,N/A,0.09m,0.96m,N/A,0.07m,25th Oct 16
3389,Namco Museum,GC,Namco,Misc,5.3,0.48m,0.13m,N/A,0.02m,09th Oct 02
2092,MySims Agents,Wii,Electronic Arts,Adventure,7.5,0.63m,0.32m,0.00m,0.10m,29th Sep 09
1827,Red Dead Redemption: Undead Nightmare,PS3,Rockstar Games,Action,10.0,0.47m,0.45m,0.06m,0.19m,23rd Nov 10
790,The Legend of Zelda: Link's Awakening DX,GBC,Nintendo,Adventure,9.4,1.00m,0.63m,0.45m,0.13m,31st Oct 98
3461,Dora the Explorer: Super Spies,GBA,Gotham Games,Platform,N/A,0.44m,0.16m,N/A,0.01m,25th Oct 04
2668,Shin Megami Tensei: Persona 4,PS2,Atlus,Role-Playing,9.2,0.34m,0.04m,0.36m,0.08m,08th Dec 08
1981,Tales of Symphonia,GC,Namco,Role-Playing,8.5,0.54m,0.21m,0.31m,0.04m,14th Jul 04
2444,Spider-Man 3,PS2,Activision,Platform,4.4,0.74m,0.03m,0.01m,0.12m,04th May 07
1893,Borderlands: The Handsome Collection,PS4,2K Games,Shooter,N/A,0.57m,0.35m,0.03m,0.19m,24th Mar 15
1721,Transformers: Autobots / Decepticons,DS,Activision,Action,N/A,1.12m,0.03m,N/A,0.09m,19th Jun 07
2786,F1 2016 (Codemasters),PS4,Codemasters,Racing,N/A,0.07m,0.56m,0.03m,0.11m,01st Jan 17
3325,Tales of Berseria,PS4,Namco Bandai Games,Role-Playing,N/A,0.22m,0.10m,0.26m,0.07m,24th Jan 17
2695,Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS4,Square Enix,Action,N/A,0.21m,0.14m,0.39m,0.07m,13th Oct 15
5,Tetris,GB,Nintendo,Puzzle,N/A,23.20m,2.26m,4.22m,0.58m,01st Jun 89
2844,Driv3r,XB,Atari,Racing,N/A,0.36m,0.38m,N/A,0.03m,21st Jun 04
970,The Sims: Makin' Magic,PC,Electronic Arts,Simulation,N/A,1.03m,0.80m,N/A,0.09m,28th Oct 03
1804,Scarface: The World is Yours,PS2,Sierra Entertainment,Adventure,N/A,0.99m,0.04m,N/A,0.16m,08th Oct 06
2076,DiRT,PS3,Codemasters,Racing,8.3,0.16m,0.66m,N/A,0.23m,11th Sep 07
325,Fallout 3,PS3,Bethesda Softworks,Role-Playing,8.8,2.17m,1.15m,0.07m,0.61m,28th Oct 08
36,Pokémon Yellow: Special Pikachu Edition,GB,Nintendo,Role-Playing,8.7,5.89m,5.04m,3.12m,0.59m,19th Oct 99
2156,Assassin's Creed: Rogue,X360,Ubisoft,Action,N/A,0.59m,0.34m,N/A,0.09m,11th Nov 14
431,FIFA Soccer 2003,PS2,EA Sports,Sports,N/A,0.46m,2.28m,0.05m,0.61m,14th Nov 02
1214,Dragon Quest IV: Chapters of the Chosen,DS,Square Enix,Role-Playing,8.1,0.30m,0.02m,1.27m,0.03m,16th Sep 08
2195,Dead Space 3,X360,Electronic Arts,Shooter,N/A,0.64m,0.27m,N/A,0.09m,05th Feb 13
187,Crash Bandicoot: The Wrath of Cortex,PS2,Universal Interactive,Platform,6.9,2.07m,2.29m,0.24m,0.82m,29th Oct 01
2252,Madden NFL 08,PS3,EA Sports,Sports,N/A,0.89m,0.01m,N/A,0.08m,14th Aug 07
2968,Madden NFL 11,Wii,EA Sports,Sports,6.8,0.68m,N/A,N/A,0.05m,10th Aug 10
3541,SimCity DS,DS,Electronic Arts,Simulation,N/A,0.33m,0.03m,0.21m,0.03m,19th Jun 07
2230,Littlest Pet Shop: Winter,DS,Electronic Arts,Simulation,N/A,0.58m,0.31m,N/A,0.10m,14th Oct 08
3018,Skate,X360,Electronic Arts,Sports,N/A,0.62m,0.03m,0.00m,0.06m,14th Sep 07
2963,NHL 11,X360,EA Sports,Sports,8.8,0.61m,0.07m,N/A,0.05m,07th Sep 10
749,Chrono Trigger,SNES,Square,Role-Playing,8.8,0.28m,N/A,2.02m,0.01m,27th Sep 95
2641,MLB SlugFest 20-03,PS2,Midway Games,Sports,N/A,0.41m,0.32m,N/A,0.11m,23rd Jun 02
40,Call of Duty: Modern Warfare 3,PS3,Activision,Shooter,8.8,5.54m,5.78m,0.49m,1.54m,08th Nov 11
1519,Gradius,NES,Konami,Shooter,N/A,0.27m,0.08m,1.00m,0.01m,01st Dec 86
1903,Resident Evil - Code: Veronica,DC,Capcom,Action,9.2,0.41m,0.23m,0.47m,0.03m,29th Feb 00
3080,NCAA Football 2001,PS,EA Sports,Sports,N/A,0.39m,0.26m,N/A,0.05m,25th Jul 00
650,Hot Shots Golf,PS,Sony Computer Entertainment,Sports,N/A,0.26m,0.17m,2.13m,N/A,05th May 98
2449,Harry Potter: Quidditch World Cup,PS2,Electronic Arts,Sports,N/A,0.44m,0.34m,N/A,0.11m,28th Oct 03
494,Saints Row 2,X360,THQ,Action,7.9,1.97m,0.79m,0.02m,0.28m,14th Oct 08
2652,Karaoke Revolution Glee,Wii,Konami,Misc,N/A,0.51m,0.24m,N/A,0.07m,09th Nov 10
3467,Ganbaru Watashi no Kakei Diary,DS,Nintendo,Misc,N/A,N/A,N/A,0.61m,N/A,12th Jul 07
3081,James Bond 007: Blood Stone,PS3,Activision,Action,6.2,0.18m,0.37m,0.02m,0.12m,02nd Nov 10
671,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB,Rockstar Games,Action,9.8,1.84m,0.56m,N/A,0.09m,31st Oct 03
2762,Final Fantasy XIV: A Realm Reborn,PS4,Square Enix,MMO,N/A,0.35m,0.23m,0.08m,0.12m,14th Apr 14
549,Syphon Filter,PS,989 Studios,Shooter,9.2,2.03m,0.72m,0.02m,0.11m,31st Jan 99
1285,007: The World is Not Enough,N64,Electronic Arts,Shooter,7.4,1.13m,0.38m,0.02m,0.03m,17th Oct 00
3267,Disney's Chicken Little,PS2,Buena Vista,Platform,6.3,0.32m,0.25m,N/A,0.08m,20th Oct 05
2543,Final Fantasy X / X-2 HD Remaster,PSV,Square Enix,Role-Playing,N/A,0.16m,0.29m,0.28m,0.13m,18th Mar 14
3647,Kirby and the Rainbow Curse,WiiU,Nintendo,Platform,8.2,0.26m,0.14m,0.13m,0.04m,20th Feb 15
571,Killzone 3,PS3,Sony Computer Entertainment,Shooter,8.2,1.46m,0.87m,0.09m,0.38m,22nd Feb 11
1116,Call of Duty Black Ops: Declassified,PSV,Activision,Misc,N/A,0.74m,0.52m,0.07m,0.38m,13th Nov 12
3003,NBA Live 09,X360,Electronic Arts,Sports,N/A,0.51m,0.14m,0.00m,0.07m,07th Oct 08
2824,Dragon Ball: Raging Blast,PS3,Namco Bandai,Fighting,5.6,0.37m,0.19m,0.11m,0.10m,10th Nov 09
2509,Peppa Pig: The Game,DS,Pinnacle,Misc,N/A,N/A,0.81m,N/A,0.06m,28th Nov 08
1033,Professor Layton and the Mask of Miracle,3DS,Nintendo,Puzzle,N/A,0.32m,1.02m,0.36m,0.11m,28th Oct 12
558,Yoshi's Story,N64,Nintendo,Platform,N/A,1.29m,0.53m,0.98m,0.05m,01st Mar 98
2981,Destiny: The Collection,PS4,Activision,Shooter,N/A,0.18m,0.42m,0.02m,0.11m,19th Sep 16
3716,Wreckless: ThE YaKuza MisSiOns,XB,Activision,Racing,N/A,0.42m,0.11m,0.02m,0.02m,04th Feb 02
1165,Middle-Earth: Shadow of War,PS4,Warner Bros. Interactive Entertainment,Action,N/A,0.63m,0.71m,0.05m,0.27m,10th Oct 17
2723,The Amazing Spider-Man (2012),PS3,Activision,Action-Adventure,7.3,0.31m,0.36m,N/A,0.12m,26th Jun 12
2516,Need for Speed: V-Rally,PS,Electronic Arts,Racing,N/A,0.43m,0.29m,0.09m,0.06m,30th Sep 97
836,Borderlands,PS3,2K Games,Shooter,8.2,1.22m,0.61m,N/A,0.29m,20th Oct 09
1191,Dig Dug,2600,Atari,Puzzle,N/A,1.52m,0.10m,N/A,0.02m,01st Jan 83
